x,y,value,row_group,column_group,annotation_value
S09,G03,-0.5755355681108791,stress,treated,0.3333333333333333
S10,G03,-0.5600530465286311,stress,treated,0.3333333333333333
S11,G03,-0.45690605050923677,stress,treated,0.3333333333333333
S12,G03,-0.12374639701478711,stress,treated,0.3333333333333333
S13,G03,0.24007018031319965,stress,treated,0.3333333333333333
S14,G03,0.4392034165611306,stress,treated,0.3333333333333333
S01,G04,1.8502165198648952,immune,control,0.5
S02,G04,1.3786932283629718,immune,control,0.5
S03,G04,1.5219456955526562,immune,control,0.5
S04,G04,1.214920900885526,immune,control,0.5
S05,G04,0.6275851040620817,immune,control,0.5
S06,G04,0.7126970427788801,immune,control,0.5
S07,G04,0.2475356176439531,immune,control,0.5
S08,G04,0.8923311089874256,immune,treated,0.5
S09,G04,0.5665361033328375,immune,treated,0.5
S10,G04,0.3891160209965306,immune,treated,0.5
S11,G04,0.13705446883141292,immune,treated,0.5
S12,G04,0.5383705290294615,immune,treated,0.5
S13,G04,1.143348831525193,immune,treated,0.5
S14,G04,1.629229243787381,immune,treated,0.5
S01,G05,1.9710303709077208,metabolic,control,0.6666666666666666
S02,G05,1.7171307127582487,metabolic,control,0.6666666666666666
S03,G05,1.787386145643066,metabolic,control,0.6666666666666666
S04,G05,1.3478553303570744,metabolic,control,0.6666666666666666
S05,G05,0.8526370099413696,metabolic,control,0.6666666666666666
S06,G05,0.8312072093834725,metabolic,control,0.6666666666666666
S07,G05,0.20389020867624238,metabolic,control,0.6666666666666666
S08,G05,0.07016132649973306,metabolic,treated,0.6666666666666666
S09,G05,-0.19403370693581043,metabolic,treated,0.6666666666666666
S10,G05,0.0652641324800336,metabolic,treated,0.6666666666666666
S11,G05,-0.027895209312177663,metabolic,treated,0.6666666666666666
S12,G05,0.16357290695801843,metabolic,treated,0.6666666666666666
S13,G05,0.5134096618002972,metabolic,treated,0.6666666666666666
S14,G05,1.007147322128162,metabolic,treated,0.6666666666666666
S01,G06,1.8875332065683452,stress,control,0.8333333333333334
S02,G06,2.0792124280939257,stress,control,0.8333333333333334
S03,G06,1.6126274420739457,stress,control,0.8333333333333334
S04,G06,1.6429450360452256,stress,control,0.8333333333333334
S05,G06,0.9788669761822224,stress,control,0.8333333333333334
S06,G06,0.6767658560398121,stress,control,0.8333333333333334
S07,G06,0.7020217875485047,stress,control,0.8333333333333334
S08,G06,0.34112711218101976,stress,treated,0.8333333333333334
S09,G06,0.07436511693931264,stress,treated,0.8333333333333334
S10,G06,-0.0036912348554285794,stress,treated,0.8333333333333334
S11,G06,0.42318382668185484,stress,treated,0.8333333333333334
S12,G06,0.28117629204163797,stress,treated,0.8333333333333334
S13,G06,0.5605142647677598,stress,treated,0.8333333333333334
S14,G06,0.7669760000039278,stress,treated,0.8333333333333334
S01,G07,1.8616688611227918,immune,control,1.0
S02,G07,1.8316029716453954,immune,control,1.0
S03,G07,1.5706112849445086,immune,control,1.0
S04,G07,1.6235726522371259,immune,control,1.0
S05,G07,1.1986589138319348,immune,control,1.0
S06,G07,0.731002586201168,immune,control,1.0
S07,G07,0.3781437512570421,immune,control,1.0
S08,G07,1.0788190623798022,immune,treated,1.0
S09,G07,0.6095736050587387,immune,treated,1.0
S10,G07,0.8781819375584337,immune,treated,1.0
S11,G07,0.6206548536983381,immune,treated,1.0
S12,G07,0.8836681588489457,immune,treated,1.0
S13,G07,1.4210171142498336,immune,treated,1.0
S14,G07,1.545172028376095,immune,treated,1.0
S01,G08,2.0331035037199694,metabolic,control,0.0
S02,G08,1.7714163914091192,metabolic,control,0.0
S03,G08,1.738911476337732,metabolic,control,0.0
S04,G08,1.514740235430114,metabolic,control,0.0
S05,G08,1.3747032757777993,metabolic,control,0.0
S06,G08,0.7408986796167575,metabolic,control,0.0
S07,G08,0.40632102282617155,metabolic,control,0.0
S08,G08,0.15077272785097567,metabolic,treated,0.0
S09,G08,-0.04594743421945792,metabolic,treated,0.0
S10,G08,-0.11095920103733489,metabolic,treated,0.0
S11,G08,0.049021483948339245,metabolic,treated,0.0
S12,G08,0.3166091307729989,metabolic,treated,0.0
S13,G08,0.236181361096979,metabolic,treated,0.0
S14,G08,1.0087825004211832,metabolic,treated,0.0
S01,G09,1.8841806755687232,stress,control,0.16666666666666666
S02,G09,1.698788261349811,stress,control,0.16666666666666666
S03,G09,1.3341398273455685,stress,control,0.16666666666666666
S04,G09,1.1601353192265604,stress,control,0.16666666666666666
S05,G09,0.7777546867568854,stress,control,0.16666666666666666
S06,G09,0.6290646488360225,stress,control,0.16666666666666666
S07,G09,0.0946815434053349,stress,control,0.16666666666666666
S08,G09,-0.346509385780846,stress,treated,0.16666666666666666
S09,G09,-0.49570569062413516,stress,treated,0.16666666666666666
S10,G09,-0.429635534481455,stress,treated,0.16666666666666666
S11,G09,-0.07969661808106045,stress,treated,0.16666666666666666
S12,G09,0.27340553806164375,stress,treated,0.16666666666666666
S13,G09,0.14603344769198873,stress,treated,0.16666666666666666
S14,G09,0.622456368408595,stress,treated,0.16666666666666666
S01,G10,1.532967606688733,immune,control,0.3333333333333333
S02,G10,1.1527961573262606,immune,control,0.3333333333333333
S03,G10,1.4211235592593972,immune,control,0.3333333333333333
S04,G10,0.9970149033979353,immune,control,0.3333333333333333
S05,G10,0.7632379555028325,immune,control,0.3333333333333333
S06,G10,0.447754950858026,immune,control,0.3333333333333333
S07,G10,-0.29292845590605354,immune,control,0.3333333333333333
S08,G10,0.5093273593076827,immune,treated,0.3333333333333333
S09,G10,0.005518019770526045,immune,treated,0.3333333333333333
S10,G10,0.16452903201630245,immune,treated,0.3333333333333333
S11,G10,0.08318819921275028,immune,treated,0.3333333333333333
S12,G10,0.42506513848245453,immune,treated,0.3333333333333333
S13,G10,0.6110147725470201,immune,treated,0.3333333333333333
S14,G10,0.9279417653595118,immune,treated,0.3333333333333333
S01,G11,1.1682084817689704,metabolic,control,0.5
S02,G11,1.189728160509321,metabolic,control,0.5
S03,G11,0.9781863386795171,metabolic,control,0.5
S04,G11,0.8365601253404921,metabolic,control,0.5
S05,G11,0.09183265365228158,metabolic,control,0.5
S06,G11,-0.20265600189279914,metabolic,control,0.5
S07,G11,-0.24057914861092672,metabolic,control,0.5
S08,G11,-0.6951700624291242,metabolic,treated,0.5
S09,G11,-0.5715712238558832,metabolic,treated,0.5
S10,G11,-0.7925150868648532,metabolic,treated,0.5
S11,G11,-1.0024579082914282,metabolic,treated,0.5
S12,G11,-0.33385664021201,metabolic,treated,0.5
S13,G11,-0.2924290777386576,metabolic,treated,0.5
S14,G11,0.17766705408653988,metabolic,treated,0.5
S01,G12,0.8590938654013464,stress,control,0.6666666666666666
S02,G12,0.7652452106432771,stress,control,0.6666666666666666
S03,G12,0.527451338785836,stress,control,0.6666666666666666
S04,G12,0.5784027093857091,stress,control,0.6666666666666666
S05,G12,0.11350098132112554,stress,control,0.6666666666666666
S06,G12,-0.13520346006594405,stress,control,0.6666666666666666
S07,G12,-0.6592170493643944,stress,control,0.6666666666666666
S08,G12,-0.9553587741800579,stress,treated,0.6666666666666666
S09,G12,-1.0953675303384065,stress,treated,0.6666666666666666
S10,G12,-0.9241914939492805,stress,treated,0.6666666666666666
S11,G12,-0.8158256338625575,stress,treated,0.6666666666666666
S12,G12,-0.748092080659186,stress,treated,0.6666666666666666
S13,G12,-0.25756429054232466,stress,treated,0.6666666666666666
S14,G12,-0.34636872769615357,stress,treated,0.6666666666666666
S01,G13,0.6039959665308277,immune,control,0.8333333333333334
S02,G13,0.2207608257337661,immune,control,0.8333333333333334
S03,G13,0.4181181683664308,immune,control,0.8333333333333334
S04,G13,0.16245996746481883,immune,control,0.8333333333333334
S05,G13,-0.2586808264859044,immune,control,0.8333333333333334
S06,G13,-0.8241578972273125,immune,control,0.8333333333333334
S07,G13,-0.8637136349575537,immune,control,0.8333333333333334
S08,G13,-0.4423650502235752,immune,treated,0.8333333333333334
S09,G13,-0.6941277494791274,immune,treated,0.8333333333333334
S10,G13,-0.9483336637448977,immune,treated,0.8333333333333334
S11,G13,-0.8367996434824412,immune,treated,0.8333333333333334
S12,G13,-0.5973929813011976,immune,treated,0.8333333333333334
S13,G13,-0.15230749355727582,immune,treated,0.8333333333333334
S14,G13,0.40902477551595856,immune,treated,0.8333333333333334
S01,G14,0.4235378163501676,metabolic,control,1.0
S02,G14,0.3377955497461843,metabolic,control,1.0
S03,G14,-0.022528162817022634,metabolic,control,1.0
S04,G14,0.05849509306886083,metabolic,control,1.0
S05,G14,-0.28351993585304003,metabolic,control,1.0
S06,G14,-0.8595950740142427,metabolic,control,1.0
S07,G14,-1.233630900557313,metabolic,control,1.0
S08,G14,-1.578087985449803,metabolic,treated,1.0
S09,G14,-1.4262469580988157,metabolic,treated,1.0
S10,G14,-1.7779513991496116,metabolic,treated,1.0
S11,G14,-1.4796068896404828,metabolic,treated,1.0
S12,G14,-1.172980630818909,metabolic,treated,1.0
S13,G14,-1.1480756369304246,metabolic,treated,1.0
S14,G14,-0.5790431223440088,metabolic,treated,1.0
S01,G15,0.29726863511606827,stress,control,0.0
S02,G15,0.07074143633947858,stress,control,0.0
S03,G15,-0.09864474007830344,stress,control,0.0
S04,G15,-0.2887293640694016,stress,control,0.0
S05,G15,-0.7758994749728381,stress,control,0.0
S06,G15,-1.2336865064384097,stress,control,0.0
S07,G15,-1.4305967034658404,stress,control,0.0
S08,G15,-1.4413070849356446,stress,treated,0.0
S09,G15,-1.6847165706091562,stress,treated,0.0
S10,G15,-1.7478887949731683,stress,treated,0.0
S11,G15,-1.9688841824183752,stress,treated,0.0
S12,G15,-1.5083911044730136,stress,treated,0.0
S13,G15,-1.7379341260350307,stress,treated,0.0
S14,G15,-0.9266484641890573,stress,treated,0.0
S01,G16,0.07624450376772407,immune,control,0.16666666666666666
S02,G16,-0.056491913310562,immune,control,0.16666666666666666
S03,G16,-0.3669096216199063,immune,control,0.16666666666666666
S04,G16,-0.5694880214310706,immune,control,0.16666666666666666
S05,G16,-1.011895041929932,immune,control,0.16666666666666666
S06,G16,-1.0387236528056385,immune,control,0.16666666666666666
S07,G16,-1.3754848571336142,immune,control,0.16666666666666666
S08,G16,-1.2176998145067297,immune,treated,0.16666666666666666
S09,G16,-1.1802308932531669,immune,treated,0.16666666666666666
S10,G16,-1.4992982889880044,immune,treated,0.16666666666666666
S11,G16,-1.350608897549657,immune,treated,0.16666666666666666
S12,G16,-0.9101547268033161,immune,treated,0.16666666666666666
S13,G16,-0.6321249097749826,immune,treated,0.16666666666666666
S14,G16,-0.2634058708332727,immune,treated,0.16666666666666666
S01,G17,0.32511393844802294,metabolic,control,0.3333333333333333
S02,G17,-0.2393958803921368,metabolic,control,0.3333333333333333
S03,G17,-0.3268717756966837,metabolic,control,0.3333333333333333
S04,G17,-0.6490503775730116,metabolic,control,0.3333333333333333
S05,G17,-0.8703353828195479,metabolic,control,0.3333333333333333
S06,G17,-1.1765726378433794,metabolic,control,0.3333333333333333
S07,G17,-1.361771132096992,metabolic,control,0.3333333333333333
S08,G17,-1.9964999451825538,metabolic,treated,0.3333333333333333
S09,G17,-2.129244362363227,metabolic,treated,0.3333333333333333
S10,G17,-1.8156328200428844,metabolic,treated,0.3333333333333333
S11,G17,-2.0546913029766247,metabolic,treated,0.3333333333333333
S12,G17,-1.6486913501086242,metabolic,treated,0.3333333333333333
S13,G17,-1.1163241062966986,metabolic,treated,0.3333333333333333
S14,G17,-1.0641897731901624,metabolic,treated,0.3333333333333333
S01,G18,0.032882519208805874,stress,control,0.5
S02,G18,0.1451115034824097,stress,control,0.5
S03,G18,-0.2932874590509832,stress,control,0.5
S04,G18,-0.4597840837618447,stress,control,0.5
S05,G18,-0.9833850816650795,stress,control,0.5
S06,G18,-1.055017356441426,stress,control,0.5
S07,G18,-1.619280709093249,stress,control,0.5
S08,G18,-1.7857149180959744,stress,treated,0.5
S09,G18,-1.8336955728366058,stress,treated,0.5
S10,G18,-2.0986870547411796,stress,treated,0.5
S11,G18,-1.8710350771245812,stress,treated,0.5
S12,G18,-1.1627461368455294,stress,treated,0.5
S13,G18,-1.334107986799803,stress,treated,0.5
S14,G18,-1.1428828905213955,stress,treated,0.5
S01,G19,0.31446452272586023,immune,control,0.6666666666666666
S02,G19,0.34255882310415764,immune,control,0.6666666666666666
S03,G19,-0.2873340047244097,immune,control,0.6666666666666666
S04,G19,-0.3699369474488195,immune,control,0.6666666666666666
S05,G19,-0.7992804840105039,immune,control,0.6666666666666666
S06,G19,-0.9870661164702146,immune,control,0.6666666666666666
S07,G19,-1.559736973760502,immune,control,0.6666666666666666
S08,G19,-0.8566731402686063,immune,treated,0.6666666666666666
S09,G19,-1.1919298235766853,immune,treated,0.6666666666666666
S10,G19,-1.2487070723956473,immune,treated,0.6666666666666666
S11,G19,-1.1207739838651745,immune,treated,0.6666666666666666
S12,G19,-1.1353798204295797,immune,treated,0.6666666666666666
S13,G19,-0.8579280561816791,immune,treated,0.6666666666666666
S14,G19,-0.3869177425378369,immune,treated,0.6666666666666666
S01,G20,0.41656144249207994,metabolic,control,0.8333333333333334
S02,G20,0.1104112118650298,metabolic,control,0.8333333333333334
S03,G20,0.09001647966078462,metabolic,control,0.8333333333333334
S04,G20,0.002862740629920535,metabolic,control,0.8333333333333334
S05,G20,-0.47716610159534284,metabolic,control,0.8333333333333334
S06,G20,-0.7019275948787245,metabolic,control,0.8333333333333334
S07,G20,-1.261008404091224,metabolic,control,0.8333333333333334
S08,G20,-1.6375153367511224,metabolic,treated,0.8333333333333334
S09,G20,-1.8939820637655724,metabolic,treated,0.8333333333333334
S10,G20,-1.566433574910261,metabolic,treated,0.8333333333333334
S11,G20,-1.7558054370285698,metabolic,treated,0.8333333333333334
S12,G20,-1.314124235140526,metabolic,treated,0.8333333333333334
S13,G20,-0.9173185939050089,metabolic,treated,0.8333333333333334
S14,G20,-0.8620618114924505,metabolic,treated,0.8333333333333334
S01,G21,0.45873219945061583,stress,control,1.0
S02,G21,0.3909805637424685,stress,control,1.0
S03,G21,0.24956020400501588,stress,control,1.0
S04,G21,0.3331348135814573,stress,control,1.0
S05,G21,-0.15187284509922502,stress,control,1.0
S06,G21,-0.445504782570481,stress,control,1.0
S07,G21,-0.6739993095888356,stress,control,1.0
S08,G21,-1.45595006154934,stress,treated,1.0
S09,G21,-1.402300724814269,stress,treated,1.0
S10,G21,-1.2359702364619853,stress,treated,1.0
S11,G21,-1.2421655117679795,stress,treated,1.0
S12,G21,-0.7422473361948692,stress,treated,1.0
S13,G21,-1.0349025691648184,stress,treated,1.0
S14,G21,-0.6149433476242101,stress,treated,1.0
S01,G22,0.6717013435870688,immune,control,0.0
S02,G22,0.8913282648163913,immune,control,0.0
S03,G22,0.8162158378455033,immune,control,0.0
S04,G22,0.4898316225427423,immune,control,0.0
S05,G22,0.04498695028707364,immune,control,0.0
S06,G22,-0.19156851989235052,immune,control,0.0
S07,G22,-0.958846193964076,immune,control,0.0
S08,G22,-0.228405684843695,immune,treated,0.0
S09,G22,-0.5309647486086848,immune,treated,0.0
S10,G22,-0.5890809224665536,immune,treated,0.0
S11,G22,-0.3817203455673898,immune,treated,0.0
S12,G22,0.051792587479295965,immune,treated,0.0
S13,G22,0.03455516611315107,immune,treated,0.0
S14,G22,0.7722992272798888,immune,treated,0.0
S01,G23,1.1304626108391052,metabolic,control,0.16666666666666666
S02,G23,1.2452311845365964,metabolic,control,0.16666666666666666
S03,G23,0.8560046551569528,metabolic,control,0.16666666666666666
S04,G23,0.4208503843398871,metabolic,control,0.16666666666666666
S05,G23,0.47923810516129395,metabolic,control,0.16666666666666666
S06,G23,-0.28089194465372513,metabolic,control,0.16666666666666666
S07,G23,-0.2794069467946803,metabolic,control,0.16666666666666666
S08,G23,-0.6378842721123112,metabolic,treated,0.16666666666666666
S09,G23,-0.7113314435661695,metabolic,treated,0.16666666666666666
S10,G23,-0.9607628505004535,metabolic,treated,0.16666666666666666
S11,G23,-0.8308104156406,metabolic,treated,0.16666666666666666
S12,G23,-0.41523744757923087,metabolic,treated,0.16666666666666666
S13,G23,-0.4533036847155737,metabolic,treated,0.16666666666666666
S14,G23,0.15938040135905837,metabolic,treated,0.16666666666666666
S01,G24,1.2504209782724873,stress,control,0.3333333333333333
S02,G24,1.1760353047190302,stress,control,0.3333333333333333
S03,G24,1.4668064058029553,stress,control,0.3333333333333333
S04,G24,1.138866925497106,stress,control,0.3333333333333333
S05,G24,0.5337842407850235,stress,control,0.3333333333333333
S06,G24,0.28819991122362015,stress,control,0.3333333333333333
S07,G24,0.14646572944839256,stress,control,0.3333333333333333
S08,G24,-0.3628676625631056,stress,treated,0.3333333333333333
S09,G24,-0.559662732957202,stress,treated,0.3333333333333333
S10,G24,-0.6849815893851781,stress,treated,0.3333333333333333
S11,G24,-0.48235513885554315,stress,treated,0.3333333333333333
S12,G24,-0.14962309478319885,stress,treated,0.3333333333333333
S13,G24,-0.15978984711823185,stress,treated,0.3333333333333333
S14,G24,0.5510147977161455,stress,treated,0.3333333333333333
S01,G25,1.928618147752293,immune,control,0.5
S02,G25,1.5147818230652608,immune,control,0.5
S03,G25,1.5534750599138871,immune,control,0.5
S04,G25,1.234931692887898,immune,control,0.5
S05,G25,1.0846541593319508,immune,control,0.5
S06,G25,0.785404462246906,immune,control,0.5
S07,G25,0.2587964824632088,immune,control,0.5
S08,G25,0.6424251401762912,immune,treated,0.5
S09,G25,0.39562939142953973,immune,treated,0.5
S10,G25,0.2584254906208064,immune,treated,0.5
S11,G25,0.4783137804362896,immune,treated,0.5
S12,G25,0.595339400110857,immune,treated,0.5
S13,G25,1.035651351575586,immune,treated,0.5
S14,G25,1.3173193641442666,immune,treated,0.5
S01,G26,2.0656452238040974,metabolic,control,0.6666666666666666
S02,G26,1.568127971979424,metabolic,control,0.6666666666666666
S03,G26,1.278798771219288,metabolic,control,0.6666666666666666
S04,G26,1.310266356753966,metabolic,control,0.6666666666666666
S05,G26,1.155164783368517,metabolic,control,0.6666666666666666
S06,G26,0.8492261551380097,metabolic,control,0.6666666666666666
S07,G26,0.3108521376464418,metabolic,control,0.6666666666666666
S08,G26,0.1258489060473356,metabolic,treated,0.6666666666666666
S09,G26,-0.08436344076434654,metabolic,treated,0.6666666666666666
S10,G26,-0.20891587980928372,metabolic,treated,0.6666666666666666
S11,G26,-0.016256415618535816,metabolic,treated,0.6666666666666666
S12,G26,0.05012910369677634,metabolic,treated,0.6666666666666666
S13,G26,0.74127364474573,metabolic,treated,0.6666666666666666
S14,G26,0.7224033261518918,metabolic,treated,0.6666666666666666
S01,G27,2.0253694663837014,stress,control,0.8333333333333334
S02,G27,1.666111230726885,stress,control,0.8333333333333334
S03,G27,1.9167488952504683,stress,control,0.8333333333333334
S04,G27,1.169390372276548,stress,control,0.8333333333333334
S05,G27,0.7781366739547277,stress,control,0.8333333333333334
S06,G27,0.8931088466269843,stress,control,0.8333333333333334
S07,G27,0.24163971193456035,stress,control,0.8333333333333334
S08,G27,0.41488652532300285,stress,treated,0.8333333333333334
S09,G27,0.12227529373910156,stress,treated,0.8333333333333334
S10,G27,0.027718155040976793,stress,treated,0.8333333333333334
S11,G27,0.2474401826859015,stress,treated,0.8333333333333334
S12,G27,0.28608175630091853,stress,treated,0.8333333333333334
S13,G27,0.5169591409211438,stress,treated,0.8333333333333334
S14,G27,0.9825690946729295,stress,treated,0.8333333333333334
S01,G28,1.963178681436099,immune,control,1.0
S02,G28,2.2346495710212455,immune,control,1.0
S03,G28,1.995367580426043,immune,control,1.0
S04,G28,1.4250371337338752,immune,control,1.0
S05,G28,1.1347247944059689,immune,control,1.0
S06,G28,0.757556202039824,immune,control,1.0
S07,G28,0.5398587305545839,immune,control,1.0
S08,G28,1.1093894898663246,immune,treated,1.0
S09,G28,0.916888504712035,immune,treated,1.0
S10,G28,0.692203654425998,immune,treated,1.0
S11,G28,0.6579670564104263,immune,treated,1.0
S12,G28,0.5800936236438259,immune,treated,1.0
S13,G28,1.3163021785730877,immune,treated,1.0
S14,G28,1.683499523576538,immune,treated,1.0
S01,G29,1.6154571911132634,metabolic,control,0.0
S02,G29,2.163804753388756,metabolic,control,0.0
S03,G29,1.7995452965634908,metabolic,control,0.0
S04,G29,1.369498632173922,metabolic,control,0.0
S05,G29,1.105855608064263,metabolic,control,0.0
S06,G29,0.4737982790364776,metabolic,control,0.0
S07,G29,0.2209035949148658,metabolic,control,0.0
S08,G29,0.3228853226445806,metabolic,treated,0.0
S09,G29,-0.046415755437831434,metabolic,treated,0.0
S10,G29,-0.03590964279612232,metabolic,treated,0.0
S11,G29,0.2000697756138323,metabolic,treated,0.0
S12,G29,0.16882467173477142,metabolic,treated,0.0
S13,G29,0.38414961347123866,metabolic,treated,0.0
S14,G29,0.6472845148130081,metabolic,treated,0.0
S01,G30,1.805317909043151,stress,control,0.16666666666666666
S02,G30,1.7771475216368102,stress,control,0.16666666666666666
S03,G30,1.7637159223749186,stress,control,0.16666666666666666
S04,G30,1.4775667042356364,stress,control,0.16666666666666666
S05,G30,0.6850086463524816,stress,control,0.16666666666666666
S06,G30,0.6265556579001075,stress,control,0.16666666666666666
S07,G30,0.17446341299757107,stress,control,0.16666666666666666
S08,G30,-0.14003279894684717,stress,treated,0.16666666666666666
S09,G30,-0.44816761169789293,stress,treated,0.16666666666666666
S10,G30,-0.025535701891380075,stress,treated,0.16666666666666666
S11,G30,-0.3867366347690056,stress,treated,0.16666666666666666
S12,G30,0.4574343515343969,stress,treated,0.16666666666666666
S13,G30,0.36403158919786704,stress,treated,0.16666666666666666
S14,G30,1.0203268079616243,stress,treated,0.16666666666666666
