"group","gene","correlation","p_value","direction","p_value_bin","abs_correlation"
"Group3","RTT109",0.108729831632406,0.0330979461036623,"positive","<0.05",0.108729831632406
"Group3","RLP24",0.342475408617242,0.0295076360739768,"positive","<0.05",0.342475408617242
"Group3","SLX9",0.39139818958345,0.0121955798193812,"positive","<0.05",0.39139818958345
"Group3","ERG3",0.00477295620439798,0.0111044850759208,"positive","<0.05",0.00477295620439798
"Group3","TAT2",-0.789852931519478,0.0186427279561758,"negative","<0.05",0.789852931519478
"Group4","OPI10",0.0781727274378807,0.0372769960202277,"positive","<0.05",0.0781727274378807
"Group4","AGA2",0.10552907752474,0.021277811229229,"positive","<0.05",0.10552907752474
"Group4","ERG26",-0.444507857635575,0.0686262172274291,"negative",">0.05",0.444507857635575
"Group4","HMG1",-0.583414991872653,0.00366649333387613,"negative","<0.01",0.583414991872653
"Group4","NOP6",-0.140007250081819,0.035376005936414,"negative","<0.05",0.140007250081819
"Group4","HSP26",0.1245161847465,0.0639139876514673,"positive",">0.05",0.1245161847465
"Group4","TRP3",-0.0254367240925599,0.0097519407980144,"negative","<0.01",0.0254367240925599
"Group4","ARO10",-0.008101184387703,0.0448758387006819,"negative","<0.05",0.008101184387703
"Group4","cyp524A1",0.0320502084967598,0.0165225111693144,"positive","<0.05",0.0320502084967598
"Group4","ERG25",-0.520296406706493,0.0102025320194662,"negative","<0.05",0.520296406706493
"Group4","CDK6",0.455722067643555,0.0602646291442215,"positive",">0.05",0.455722067643555
"Group4","DAP1",-0.35832414783875,0.071603628732264,"negative",">0.05",0.35832414783875
"Group4","HGT1",0.544297925920713,0.0299570220708847,"positive","<0.05",0.544297925920713
"Group4","CWH41",0.159711002015841,0.0532092155702412,"positive",">0.05",0.159711002015841
"Group4","RTT109",-0.456962380842047,0.00758725287392736,"negative","<0.01",0.456962380842047
"Group4","RLP24",-0.0085248278202652,0.0307175710238516,"negative","<0.05",0.0085248278202652
"Group4","SLX9",0.157146331740818,0.0219506915658712,"positive","<0.05",0.157146331740818
"Group4","ERG3",-0.762303134691109,0.0651712031103671,"negative",">0.05",0.762303134691109
"Group4","TAT2",0.221122234255038,0.0358813073113561,"positive","<0.05",0.221122234255038
"Group5","OPI10",-0.327971302852992,0.0648051482439041,"negative",">0.05",0.327971302852992
"Group5","AGA2",-0.351497536915782,0.064991160761565,"negative",">0.05",0.351497536915782
"Group5","ERG26",-0.467875458438706,0.0635473856888712,"negative",">0.05",0.467875458438706
"Group5","HMG1",-0.551488515973718,0.0351865350082517,"negative","<0.05",0.551488515973718
"Group5","NOP6",0.370879227687722,0.0603580126911402,"positive",">0.05",0.370879227687722
"Group5","HSP26",-0.0827922007229249,0.0503376905247569,"negative",">0.05",0.0827922007229249
"Group5","TRP3",0.416258163238189,0.0568145921081305,"positive",">0.05",0.416258163238189
"Group5","ARO10",-0.0833802517165295,4.99818660318851e-05,"negative","<0.0001",0.0833802517165295
"Group5","cyp524A1",0.187423849475483,0.0380253259278834,"positive","<0.05",0.187423849475483
"Group5","ERG25",-0.272055974104895,0.0176095108129084,"negative","<0.05",0.272055974104895
"Group5","CDK6",-0.359828659045666,0.0303853230178356,"negative","<0.05",0.359828659045666
"Group5","DAP1",-0.218351340782681,0.0490216802619398,"negative","<0.05",0.218351340782681
"Group5","HGT1",0.113627878563259,0.0281438327394426,"positive","<0.05",0.113627878563259
"Group5","CWH41",0.195655556834849,0.00889083394780755,"positive","<0.01",0.195655556834849
"Group5","RTT109",-0.0110881751861095,0.0194895578175783,"negative","<0.05",0.0110881751861095
"Group5","RLP24",-0.32145497246921,0.0534444469958544,"negative",">0.05",0.32145497246921
"Group5","SLX9",-0.00560336370156076,0.033411742374301,"negative","<0.05",0.00560336370156076
"Group5","ERG3",-0.117077137528855,0.0630556667223573,"negative",">0.05",0.117077137528855
"Group5","TAT2",0.167536478149576,0.00822917154058814,"positive","<0.01",0.167536478149576
"Group6","OPI10",0.0655534862391136,0.0347914193198085,"positive","<0.05",0.0655534862391136
"Group6","AGA2",0.0921100982239669,0.0787965583987534,"positive",">0.05",0.0921100982239669
"Group6","ERG26",-0.00920013026002851,0.0714440891519189,"negative",">0.05",0.00920013026002851
"Group6","HMG1",0.224287786475712,0.0709175248630345,"positive",">0.05",0.224287786475712
"Group6","NOP6",0.390495379074564,0.0140042120218277,"positive","<0.05",0.390495379074564
"Group6","HSP26",0.0958939896910285,0.0104556553252041,"positive","<0.05",0.0958939896910285
"Group6","TRP3",-0.129416783489157,0.0522481540031731,"negative",">0.05",0.129416783489157
"Group6","ARO10",-0.249452172697481,0.0274813177809119,"negative","<0.05",0.249452172697481
"Group6","cyp524A1",0.109454314994766,0.0525406502373517,"positive",">0.05",0.109454314994766
"Group6","ERG25",-0.488759078571978,0.0256298593990505,"negative","<0.05",0.488759078571978
"Group6","CDK6",-0.0288693174710456,0.0150152895413339,"negative","<0.05",0.0288693174710456
"Group6","DAP1",0.31864168358779,0.0625835441052914,"positive",">0.05",0.31864168358779
"Group6","HGT1",0.0177406154414927,0.00748759893700481,"positive","<0.01",0.0177406154414927
"Group6","CWH41",-0.234016731579526,0.0373423233255744,"negative","<0.05",0.234016731579526
"Group6","RTT109",-0.186707592125077,0.0409204367920756,"negative","<0.05",0.186707592125077
"Group6","RLP24",-0.0376248397797211,0.0479991167411208,"negative","<0.05",0.0376248397797211
"Group6","SLX9",0.148533101403967,0.0266258832253516,"positive","<0.05",0.148533101403967
"Group6","ERG3",0.116429492689458,0.0390890426933765,"positive","<0.05",0.116429492689458
"Group6","TAT2",-0.215877325870865,0.0763579061999917,"negative",">0.05",0.215877325870865
"Group7","OPI10",0.542544520539714,0.038632191773504,"positive","<0.05",0.542544520539714
"Group7","AGA2",-0.132096855714259,0.0712280177697539,"negative",">0.05",0.132096855714259
"Group7","ERG26",0.0314898453590918,0.0731550549529493,"positive",">0.05",0.0314898453590918
"Group7","HMG1",0.143996847850523,0.0486987985856831,"positive","<0.05",0.143996847850523
"Group7","NOP6",0.0325940251539252,0.0328551821224391,"positive","<0.05",0.0325940251539252
"Group7","HSP26",-0.00353628093825988,0.0117675752751529,"negative","<0.05",0.00353628093825988
"Group7","TRP3",0.470699649844983,0.0748239842616022,"positive",">0.05",0.470699649844983
"Group7","ARO10",-0.388026773886137,0.0240983119979501,"negative","<0.05",0.388026773886137
"Group7","cyp524A1",0.203055066939388,0.00485764572396874,"positive","<0.01",0.203055066939388
"Group7","ERG25",0.281172300356579,0.0758181552030146,"positive",">0.05",0.281172300356579
"Group7","CDK6",-0.296843872623596,0.0576477018743753,"negative",">0.05",0.296843872623596
"Group7","DAP1",0.148763896146712,0.0113835436478257,"positive","<0.05",0.148763896146712
"Group7","HGT1",0.0128083410744679,0.0439427724853158,"positive","<0.05",0.0128083410744679
"Group7","CWH41",-0.0101015102199179,0.0763272990845144,"negative",">0.05",0.0101015102199179
"Group7","RTT109",-0.414079656292109,0.0468386682495475,"negative","<0.05",0.414079656292109
"Group7","RLP24",-0.186715760217414,0.0323608225397766,"negative","<0.05",0.186715760217414
"Group7","SLX9",-0.323227546673273,0.0518314783461392,"negative",">0.05",0.323227546673273
"Group7","ERG3",0.00879879354864382,0.0255856493674219,"positive","<0.05",0.00879879354864382
"Group7","TAT2",-0.160754902276086,0.0246176008693874,"negative","<0.05",0.160754902276086
"Group8","OPI10",-0.182640470485458,0.0175814105011523,"negative","<0.05",0.182640470485458
"Group8","AGA2",0.05594048617982,0.0295591092668474,"positive","<0.05",0.05594048617982
"Group8","ERG26",0.129617217316612,0.078737536277622,"positive",">0.05",0.129617217316612
"Group8","HMG1",0.0666785172907847,0.012336184065789,"positive","<0.05",0.0666785172907847
"Group8","NOP6",-0.463416669944675,0.00728351999074221,"negative","<0.01",0.463416669944675
"Group8","HSP26",-0.0575025468294541,0.0113525526225567,"negative","<0.05",0.0575025468294541
"Group8","TRP3",-0.382945816090905,0.0552005681209266,"negative",">0.05",0.382945816090905
"Group8","ARO10",-0.0230230404537935,0.0495405186712742,"negative","<0.05",0.0230230404537935
"Group8","cyp524A1",-0.0878497912464113,0.0713115293718874,"negative",">0.05",0.0878497912464113
"Group8","ERG25",0.0892043871453322,0.0538399274088442,"positive",">0.05",0.0892043871453322
"Group8","CDK6",-0.0571297692431052,0.0589662190340459,"negative",">0.05",0.0571297692431052
"Group8","DAP1",-0.284312007030841,0.0416908580623567,"negative","<0.05",0.284312007030841
"Group8","HGT1",0.379322091571745,0.0527870759740472,"positive",">0.05",0.379322091571745
"Group8","CWH41",0.175641705233116,0.0657444368116558,"positive",">0.05",0.175641705233116
"Group8","RTT109",-0.457430410403808,0.0629025241360068,"negative",">0.05",0.457430410403808
"Group8","RLP24",-0.398358532019447,0.0783857533894479,"negative",">0.05",0.398358532019447
"Group8","SLX9",-0.555397896832354,0.0351545228995383,"negative","<0.05",0.555397896832354
"Group8","ERG3",-0.156409679010401,0.0249361761659384,"negative","<0.05",0.156409679010401
"Group8","TAT2",-0.70554268345937,0.0327579962089658,"negative","<0.05",0.70554268345937
"Group9","OPI10",-0.248637435915544,0.000837368946522474,"negative","<0.001",0.248637435915544
"Group9","AGA2",0.140568938638069,0.0147079619206488,"positive","<0.05",0.140568938638069
"Group9","ERG26",0.190371874164574,0.0674183455109596,"positive",">0.05",0.190371874164574
"Group9","HMG1",0.730330082419334,0.0184929425641894,"positive","<0.05",0.730330082419334
"Group9","NOP6",-0.283873628371317,0.0191279964521527,"negative","<0.05",0.283873628371317
"Group9","HSP26",-0.558888906879915,0.0061352932266891,"negative","<0.01",0.558888906879915
"Group9","TRP3",-0.381329916925848,0.0196578942425549,"negative","<0.05",0.381329916925848
"Group9","ARO10",0.0230310896097713,0.0585708164423704,"positive",">0.05",0.0230310896097713
"Group9","cyp524A1",0.179231039258106,0.067796253208071,"positive",">0.05",0.179231039258106
"Group9","ERG25",0.115029002647969,0.0398021813668311,"positive","<0.05",0.115029002647969
"Group9","CDK6",-0.232373853349872,0.0310327223874629,"negative","<0.05",0.232373853349872
"Group9","DAP1",0.432820498204538,0.0197159195318818,"positive","<0.05",0.432820498204538
"Group9","HGT1",0.125732637752454,0.00888771690428257,"positive","<0.01",0.125732637752454
"Group9","CWH41",0.0690709959235661,0.0311995548196137,"positive","<0.05",0.0690709959235661
"Group9","RTT109",-0.294406166666687,0.0457548251189292,"negative","<0.05",0.294406166666687
"Group9","RLP24",-0.0905547020190329,0.0173514210246503,"negative","<0.05",0.0905547020190329
"Group9","SLX9",0.0993885524797624,0.0355814401619136,"positive","<0.05",0.0993885524797624
"Group9","ERG3",0.109758437210489,0.0174392534978688,"positive","<0.05",0.109758437210489
"Group9","TAT2",0.172916223722402,0.0401839650608599,"positive","<0.05",0.172916223722402
"Group10","OPI10",-0.156672639587524,0.0283123657479882,"negative","<0.05",0.156672639587524
"Group10","AGA2",0.0788051325419874,0.0519988127052784,"positive",">0.05",0.0788051325419874
"Group10","ERG26",-0.373858485981479,0.0299771165288985,"negative","<0.05",0.373858485981479
"Group10","HMG1",-0.105059243484964,0.0284356304630637,"negative","<0.05",0.105059243484964
"Group10","NOP6",-0.360286630314564,0.042695035636425,"negative","<0.05",0.360286630314564
"Group10","HSP26",0.383807890089824,0.0592267488315701,"positive",">0.05",0.383807890089824
"Group10","TRP3",-0.211720507520276,0.0176882350258529,"negative","<0.05",0.211720507520276
"Group10","ARO10",0.375775326580267,0.033019689489156,"positive","<0.05",0.375775326580267
"Group10","cyp524A1",0.0358708465808861,0.0212549349479377,"positive","<0.05",0.0358708465808861
"Group10","ERG25",-0.0617701666639428,0.0503978442773223,"negative",">0.05",0.0617701666639428
"Group10","CDK6",-0.200961083456785,0.0147062792629004,"negative","<0.05",0.200961083456785
"Group10","DAP1",0.344963003807813,0.0690915289148688,"positive",">0.05",0.344963003807813
"Group10","HGT1",-0.214692948933528,0.0597254403308034,"negative",">0.05",0.214692948933528
"Group10","CWH41",0.616479784029142,0.0534627719782293,"positive",">0.05",0.616479784029142
"Group10","RTT109",-0.429208302656668,0.0494414298608899,"negative","<0.05",0.429208302656668
"Group10","RLP24",-0.345632733079172,0.0297790448181331,"negative","<0.05",0.345632733079172
"Group10","SLX9",0.418495789293801,0.0423868548683822,"positive","<0.05",0.418495789293801
"Group10","ERG3",0.115190969326609,0.0699745874293149,"positive",">0.05",0.115190969326609
"Group10","TAT2",0.384415909511917,0.046540007982403,"positive","<0.05",0.384415909511917
